#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
151939.9998675355,-320217.8488763871,58882.78966076067,-261335.05921562645,303.54343079958704,236.03748978219886,0.9935194331831889,318
151940.99986753933,-320945.1086198704,58306.60091769422,-262638.50770217617,300.57315189693776,236.12307503829786,0.9931593217662319,317
151941.99986754317,-321024.66959978244,58189.428852197016,-262835.2407475854,299.96912462581486,235.85078657863457,0.9943059188407928,318
151942.999867547,-321109.95149485534,58383.3073930649,-262726.64410179044,300.96857722975074,236.67571217260775,0.9908402974926562,316
151943.99986755085,-321443.16640343843,58143.054643595475,-263300.11175984296,299.73006349334094,237.27554309662423,0.9883354601063785,317
151944.9998675547,-320463.1688015775,58521.81628549809,-261941.35251607944,301.682596804021,236.17806635446024,0.9929280761679176,316
151945.99986755854,-320047.13398782816,58264.965045427205,-261782.16894240095,300.35851710152343,236.8411945280401,0.9901479914661936,317
151946.99986756238,-320838.1819089658,58108.23750024126,-262729.94440872455,299.55057955235804,236.85473802379678,0.9900913742111083,316
151947.99986756622,-320363.9696960184,57695.45836236596,-262668.5113336524,297.422684518936,236.30027521846003,0.9924145574591061,317
151948.99986757006,-321468.83396914485,58753.23833588406,-262715.5956332608,302.87558788921825,236.12738001341353,0.9931412149030384,317
151949.9998675739,-320757.27890570066,57908.88337076927,-262848.3955349314,298.5229000427318,235.91887809679366,0.9940189396889986,317
151950.99986757775,-321380.1055361554,58840.82538626104,-262539.28014989436,303.32710307588343,236.0145161877343,0.9936161421183819,316
151951.9998675816,-320650.34830692527,57769.19744767959,-262881.1508592457,297.8028128224535,236.190383614445,0.9928762952568018,317
151952.99986758543,-321268.0668158077,58227.68979060894,-263040.3770251988,300.16636148531285,236.26143331753417,0.9925777126020209,317
151953.99986758927,-321213.04410934844,57909.21295308598,-263303.83115626243,298.52459905440776,236.00342476632622,0.9936628389634002,317
151954.9998675931,-321043.389023378,57975.78501267107,-263067.60401070694,298.8677810177331,237.12616401744052,0.9889580680820403,317
151955.99986759695,-320439.33715406107,57997.394023649744,-262441.9431304113,298.97917644187044,237.44393922854636,0.9876345288926187,318
151956.9998676008,-320333.2474665791,58370.23317647942,-261963.01429009967,300.90117905483004,237.81354196045532,0.9860995766901616,317
151957.99986760464,-320508.44857895025,58129.26256556081,-262379.18601338944,299.65896471034137,236.5228002910801,0.9914808752889473,318
151958.99986760848,-320331.84228242515,58943.96183763107,-261387.88044479408,303.8587761244892,235.7336411686502,0.9948000289471615,317
151959.99986761232,-320910.09146183473,58596.458966337785,-262313.63249549695,302.06738318314285,236.51966676000973,0.9914940109244356,318
151960.99986761616,-321863.5737340236,58843.13693096454,-263020.43680305907,303.3390191928641,237.00563228901396,0.9894610131983063,317
151961.99986762,-321533.53696454153,58479.708316639764,-263053.82864790177,301.4655283294311,237.80654529289484,0.9861285893942112,318
151962.99986762385,-321690.0667410544,58408.12200626335,-263281.94473479106,301.09649767760345,237.69061815916146,0.9866095467906215,317
151963.9998676277,-320686.8293817488,58554.602335110016,-262132.22704663879,301.8516103653503,236.3904369951601,0.9920360402023978,317
151964.99986763153,-321365.48175921966,58219.20536181866,-263146.276397401,300.1226238730459,236.1889067096779,0.9928825037775746,317
151965.99986763537,-320572.23898358503,57887.05740784237,-262685.18157574267,298.41038622153707,236.1003110749296,0.9932550787024113,317
151966.9998676392,-321259.9109555448,58681.71596645564,-262578.19498908916,302.50688685585527,236.5732105538687,0.9912696053342632,317
151967.99986764306,-320709.29481548676,58113.868295261986,-262595.4265202248,299.57960655411125,236.22157648377512,0.9927451867399595,317
151968.9998676469,-319814.9517014795,58419.164967940305,-261395.7867335392,301.15342464205133,236.58798139641993,0.99120771762898,317
151969.99986765074,-320754.08845194033,58556.67514157551,-262197.4133103648,301.86229577596936,236.08294497596998,0.9933281418624401,317
151970.99986765458,-320812.74995710794,58152.937764018774,-262659.81219308916,299.781011423926,234.86089631218496,0.9984967133339954,317
151971.99986765842,-321816.3165225284,58991.5832628843,-262824.7332596441,304.1042667149353,236.13042696588693,0.9931283997223773,317
151972.99986766226,-320687.5234949819,57834.34463501687,-262853.17885996506,298.13864950521315,235.72385721008968,0.9948413191346478,317
151973.9998676661,-321480.2654166885,58137.34751314414,-263342.9179035444,299.7006429790072,235.94302388098126,0.9939172144232911,317
151974.99986766995,-319535.9152963436,57614.897660439485,-261921.01763590414,297.0073904747634,236.5067299764259,0.991548245082784,317
151975.9998676738,-319982.95096225874,58088.85886966041,-261894.09209259832,299.45068183955266,236.3691585037377,0.9921253455521554,318
151976.99986767763,-320703.98321456416,58011.8587552337,-262692.12445933046,299.05374278419026,237.21968832332703,0.9885681695136626,317
151977.99986768147,-321043.858514983,59087.79430277416,-261956.06421220882,304.6002389556735,236.47288220893162,0.9916901712696068,318
151978.9998676853,-320512.47181456024,58362.47488934989,-262149.99692521035,300.8611847355053,236.14696854659675,0.9930588332414678,317
151979.99986768916,-320132.74637699523,58072.17917780165,-262060.56719919358,299.364697277329,236.3174722614541,0.9923423385256125,318
151980.999867693,-319637.4830975777,58693.13760904659,-260944.3454885311,302.5657659374578,236.40729095003937,0.9919653159426128,317
151981.99986769684,-320833.8445493786,58593.54729852325,-262240.29725085536,302.05237340451544,236.43154718201774,0.9918635472019147,318
151982.99986770068,-321217.12240520027,58952.7462465475,-262264.37615865277,303.90406014780746,236.07701768885832,0.9933530817788732,317
151983.99986770452,-321950.3455914608,57872.53401720396,-264077.81157425686,298.3355174891515,236.8259792863267,0.9902116050151276,318
151984.99986770836,-321168.45708239474,58744.68150248553,-262423.7755799092,302.8314770279371,237.04815697725047,0.9892835112018976,317
151985.9998677122,-320615.47058373084,57629.071931329556,-262986.3986524013,297.08045947913365,237.2659890804568,0.9883752575210915,317
151986.99986771605,-321084.0341913367,58075.20360031212,-263008.8305910246,299.3802883114886,236.3983470009727,0.9920028461849949,317
151987.9998677199,-320685.3440974115,58498.94004310609,-262186.4040543054,301.5646687449145,237.09005134392123,0.9891087024913477,317
151988.99986772373,-320311.5233543678,58067.26676203008,-262244.25659233774,299.3393735529367,236.79475455393467,0.9903421783989694,317
151989.99986772757,-320867.6035945378,58717.34165195434,-262150.2619425835,302.69053886798247,235.66641880887747,0.9950837893818716,317
