#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10094.000001138918,-320481.90350373136,58066.21184662497,-262415.6916571064,299.3339354165455,236.54326626925902,0.9913950912956908,433
10095.000001139122,-320999.2747303231,58139.628800050006,-262859.6459302731,299.71240311567936,236.78382554629425,0.9903878886885528,433
10096.000001139326,-321063.0176729427,58194.90833347611,-262868.1093394666,299.99737159841993,237.6835494305954,0.9866388886407564,433
10097.00000113953,-320935.9331307849,58045.904433093616,-262890.0286976913,299.2292497858292,236.6470830195593,0.9909601676307606,433
10098.000001139733,-321295.54652275844,57930.682516367204,-263364.86400639126,298.6352756193887,236.1486188367048,0.9930518933949539,433
10099.000001139937,-321065.3089265791,58392.3263807093,-262672.9825458698,301.01507051696916,237.08387182438332,0.989134483311043,433
10100.00000114014,-319791.1516974247,57991.1289879994,-261800.0227094253,298.9468799011267,236.95826123061755,0.9896588194076943,434
10101.000001140344,-320947.1238253403,58666.56776932487,-262280.5560560154,302.42879721788137,236.89756124703922,0.9899123985233675,433
10102.000001140548,-320558.23843200365,58665.26818560669,-261892.97024639696,302.42209780532465,237.29338041384682,0.988261167038896,434
10103.000001140752,-321190.82043087436,58259.723179092514,-262931.09725178184,300.331495044651,236.64493729866783,0.9909691529230663,433
10104.000001140956,-321536.0946150976,58677.16486166039,-262858.92975343723,302.48342570580724,236.99011321297527,0.989525807127863,434
10105.00000114116,-320783.60657589114,57542.60591410234,-263241.0006617888,296.63472326880907,237.3165106695328,0.9881648453231685,433
10106.000001141363,-321083.86921669217,57820.02156175801,-263263.84765493416,298.0648134179347,237.2046972507797,0.9886306459204072,434
10107.000001141567,-321190.112747737,58827.71668501885,-262362.3960627181,303.25952713100537,236.81211931993093,0.9902695593952059,433
10108.00000114177,-320936.75627147104,57481.60432997695,-263455.1519414941,296.32025735718514,237.00557040473456,0.9894612715554482,434
10109.000001141974,-320937.28232385614,58100.114149844216,-262837.1681740119,299.50870331545906,235.78250942331687,0.9945938468122951,433
10110.000001142178,-320576.81269866973,58348.09227638962,-262228.72042228014,300.78704171838643,238.27100874598503,0.9842063215856701,434
10111.000001142382,-321037.1150682757,58419.70779775479,-262617.4072705209,301.15622295417575,237.27117006902304,0.9883536756284963,433
10112.000001142585,-321188.32340705045,58459.81643561635,-262728.5069714341,301.3629847874948,236.99382373084964,0.9895103145165505,433
10113.00000114279,-320794.20404312154,58174.50408955244,-262619.6999535691,299.8921868026733,236.16468503308613,0.9929843364410684,433
10114.000001142993,-320457.322083578,58204.04028493725,-262253.28179864073,300.04444721919776,237.8721018667342,0.9858568164070538,433
10115.000001143197,-319778.4582434085,57533.55319201015,-262244.9050513983,296.58805607899404,238.09066038489442,0.9849518359069208,433
10116.0000011434,-320992.0068706793,58453.83371065435,-262538.173160025,301.3321435710552,237.18057278067053,0.9887312030199491,433
10117.000001143604,-320606.31995226233,57708.627146855695,-262897.69280540664,297.4905701956593,235.94928776090342,0.9938908283377778,433
10118.000001143808,-321835.3388231469,57786.57235595549,-264048.7664671914,297.89238125659665,236.42387802902508,0.9918957214194885,433
10119.000001144012,-321495.2135453876,58924.17780412437,-262571.03574126324,303.75678854135543,237.12246547210486,0.9889734934709529,433
10120.000001144215,-320526.9682129512,57592.228289190825,-262934.7399237604,296.8905288457113,236.83737116568489,0.9901639758293793,433
10121.000001144419,-321054.25375851896,58556.96624442469,-262497.28751409426,301.86379642425834,235.16133114731784,0.9972210648505155,433
10122.000001144623,-320500.463830065,58111.0852195904,-262389.3786104746,299.56525967376825,235.75108094511623,0.9947264382341783,433
10123.000001144826,-320895.9878457268,59211.929882651195,-261684.05796307558,305.24016345682674,235.44434406684854,0.9960223677822149,433
10124.00000114503,-320621.48604101385,58103.957791430235,-262517.5282495836,299.5285174608232,236.02889987277433,0.9935555907975622,433
10125.000001145234,-319902.3974230876,58436.14736429625,-261466.25005879137,301.24096965958165,236.8497409125085,0.9901122633907349,432
10126.000001145438,-321374.6430881119,58884.917376119585,-262489.7257119923,303.5543992680229,236.50151500731437,0.9915701091857286,432
10127.000001145641,-320699.64195716754,57550.95060517505,-263148.6913519925,296.6777405268528,235.85013127320806,0.9943086815022367,432
10128.000001145845,-320817.21858669724,58073.914424906776,-262743.30416179047,299.373642554253,236.010237983989,0.993634153592532,432
10129.000001146049,-320241.76828875183,58369.52330384264,-261872.2449849092,300.89751962943865,235.74165285400008,0.9947662206459066,432
10130.000001146253,-320469.8599289304,57945.45978606207,-262524.40014286834,298.71145310973645,237.60134987068483,0.9869802220653395,432
10131.000001146456,-320753.73023632006,58082.99630811706,-262670.733928203,299.42046007094433,236.79159671589045,0.9903553855408239,432
10132.00000114666,-320409.8484814868,58744.523484428646,-261665.32499705814,302.8306624377421,237.6033630228016,0.9869718596360458,433
10133.000001146864,-319844.0116648306,57435.41299937607,-262408.59866545454,296.08213896903527,236.04614677094986,0.9934829958734739,432
10134.000001147067,-320404.1209060552,58575.59356067679,-261828.52734537842,301.95982107788507,237.55546357939977,0.9871708674888542,432
10135.000001147271,-319536.97358486336,57902.30163710215,-261634.6719477612,298.48897090945815,236.4439450499441,0.9918115391318558,432
10136.000001147475,-320519.80400380306,58357.27175982506,-262162.532243978,300.834362368631,236.47348124702484,0.9916876591055108,433
10137.000001147679,-321306.650414099,57713.03635203614,-263593.6140620628,297.51329984680666,235.67551909147573,0.9950453656044371,432
10138.000001147882,-320614.11857997556,58119.24492935173,-262494.87365062383,299.60732334482645,236.11439199680188,0.9931958449257483,433
10139.000001148086,-321388.77425723313,58498.03169878409,-262890.74255844904,301.55998618905335,235.48123239764743,0.9958663400503582,432
10140.00000114829,-320633.3092699421,58602.12875403679,-262031.18051590532,302.09661119390756,236.95256416551598,0.9896826138356735,433
10141.000001148494,-320384.3661922044,58480.44231485459,-261903.92387734982,301.46931212326314,236.28859978906075,0.9924635943830659,432
10142.000001148697,-320578.4229157176,57547.44810217165,-263030.97481354594,296.65968496623543,236.6270605779062,0.9910440187426682,433
10143.000001148901,-320559.9117460577,58373.390292623546,-262186.52145343414,300.91745413064325,236.71625221649117,0.9906706061057503,432
10144.000001149105,-320380.34521089285,57909.84094700543,-262470.5042638874,298.5278363913262,237.516039351641,0.987334723577154,433
10145.000001149308,-321468.06810730975,58632.657726778416,-262835.41038053134,302.25398942238775,235.9712875041573,0.9937981673056789,432
10146.000001149512,-320812.33174939523,58198.44398311112,-262613.8877662841,300.01559803141504,235.81724938837877,0.9944473259128331,433
10147.000001149716,-321208.39610499237,58263.44029414788,-262944.9558108445,300.35065694005505,236.78445871498977,0.9903852403618385,432
10148.00000114992,-320467.40149251395,58000.40003196045,-262467.0014605535,298.99467255000155,235.07131656247785,0.9976029253065629,433
10149.000001150123,-321148.9043083796,58781.029545327096,-262367.87476305256,303.0188528246775,235.93465947008247,0.9939524510095541,432
10150.000001150327,-320094.90873281495,58115.84535401547,-261979.06337879947,299.58979838096565,237.28543476675074,0.9882942595651177,433
10151.00000115053,-320863.0728184765,58165.211879595416,-262697.86093888106,299.8442850421365,236.81909487058144,0.9902403908204634,432
10152.000001150735,-321135.45909342635,58378.68535294873,-262756.7737404776,300.9447504049308,235.66536684970046,0.9950882312204756,433
10153.000001150938,-320970.89267054247,57714.294703383464,-263256.597967159,297.51978670463586,236.82872976451227,0.9902001049094546,432
10154.000001151142,-321134.4669484948,58660.32076023426,-262474.1461882605,302.3965936048643,238.06705254927624,0.9850495083096534,433
10155.000001151346,-321493.83777042245,58439.45365920603,-263054.3841112164,301.25801375864575,237.49538209997607,0.9874206015495264,433
10156.00000115155,-320892.75940729165,58369.933402514784,-262522.82600477687,300.8996337065506,236.52480912786498,0.9914724545094902,433
10157.000001151753,-320909.9761355608,57824.17427904066,-263085.8018565201,298.0862208624253,236.39997157587916,0.9919960289974956,433
10158.000001151957,-320599.32664052583,58454.12158897333,-262145.2050515525,301.3336275967459,235.55857665943924,0.995539353243056,433
10159.00000115216,-320843.4935325647,57243.44516339328,-263600.04836917145,295.09253613477586,236.136110313275,0.9931044970092805,433
10160.000001152364,-321571.6960235555,57906.9191586551,-263664.77686490037,298.5127744408813,235.71088798743236,0.9948960570327853,433
10161.000001152568,-322036.4785433784,57854.08653123607,-264182.39201214234,298.24041986873345,235.7701764980467,0.9946458731193076,433
10162.000001152772,-320934.25357712177,58437.04039286822,-262497.21318425355,301.24557326206207,235.91744748690294,0.9940249674471904,433
10163.000001152976,-320975.97530182544,58498.31427119131,-262477.66103063413,301.56144286253004,235.9657033611541,0.9938216856009374,433
10164.00000115318,-320320.2258917319,58085.66223804222,-262234.5636536897,299.4342030596922,236.18260777871157,0.9929089837051517,433
10165.000001153383,-321143.31440594606,58082.45064094226,-263060.8637650038,299.4176471320997,236.34109843085088,0.992243137631882,432
10166.000001153587,-321057.3777505213,57854.662087331526,-263202.71566318977,298.24338688630917,235.29077515817346,0.9966724488061458,432
10167.00000115379,-320984.6296957866,57973.14506993523,-263011.4846258514,298.8541719941157,236.04735635446815,0.9934779049430942,432
10168.000001153994,-321438.7351741395,58133.90684840639,-263304.8283257331,299.68290619743243,235.92063814886282,0.9940115239533287,432
10169.000001154198,-321133.4146812048,57854.92610312719,-263278.48857807764,298.2447478996182,237.4599112519878,0.9875680986401862,432
10170.000001154402,-320938.38058906165,58519.71379048098,-262418.66679858067,301.67175834758217,237.31229793309248,0.9881823870944513,432
10171.000001154605,-320421.6969741846,57991.35574307805,-262430.34123110655,298.9480488337625,237.93823700684595,0.9855827966467018,432
10172.000001154809,-321398.92025716975,57981.44065329153,-263417.4796038782,298.8969360996712,236.75841188958796,0.9904941969612276,432
10173.000001155013,-321025.1640553286,57665.6981038159,-263359.4659515127,297.2692690467104,235.88962784356337,0.9941421977820627,432
10174.000001155217,-321515.30362218525,57698.44464146532,-263816.85898071993,297.4380789220947,235.23889970342793,0.9968922374405056,432
10175.00000115542,-322139.46020403784,58043.02651277761,-264096.43369126023,299.21441397707554,236.40274504806493,0.9919843909203054,432
10176.000001155624,-322423.29205631046,58518.2209895752,-263905.07106673525,301.66406289172744,235.86744298145786,0.9942357033006383,432
10177.000001155828,-321930.59395720833,58018.067500078934,-263912.5264571294,299.0857491433003,236.11866817933222,0.9931778578400423,432
10178.000001156031,-320672.66550031,57916.21376344317,-262756.45173686685,298.5606885468798,237.28424781102785,0.9882992032625527,432
10179.000001156235,-320823.31304299226,58224.98974536089,-262598.32329763134,300.15244263053995,236.99563704818945,0.9895027435070854,432
10180.000001156439,-320677.3652021161,58289.16779320588,-262388.1974089102,300.48328335559944,237.64439506030382,0.9868014475951982,432
